config_hash,task_pool_id,wireless_index,wireless_seed,resource_scenario,workload_capacity_fraction,memory_available_gb_config,algorithm_seed,algorithm,strategy_bits
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,1,20300826,highly_constrained,0.3,2.0,20264730,random_feasible,0000000011000000000000000000000000000000000000110000010000000000010000000000000000000010000000001000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,1,20300826,highly_constrained,0.3,2.0,20264730,all_local,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,1,20300826,highly_constrained,0.3,2.0,20264730,all_offload,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,1,20300826,highly_constrained,0.3,2.0,20264730,qdp_oracle,0000000000000000000000000000000000000000000010010000000000010000000000000100000000000010000000000000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,2,20300923,abundant,1.0,13.0,20264731,wa_mcbr,0000000001000010000000001000000001000000000011000000010000000010010000101100000000000010000000001000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,2,20300923,abundant,1.0,13.0,20264731,wa_mcbr_swap,0000000001000010000000001000000001000000000011000000010000000010010000101100000000000010000000001000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,2,20300923,abundant,1.0,13.0,20264731,capacity_greedy,0000000000000010000000001000000001000000000011010000010000000010010000101100000000000010000000001000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,2,20300923,abundant,1.0,13.0,20264731,lagrangian_relaxation,0000000000000010000000001000000001000000000011010000010000000011010000100100000000000010000000001000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,2,20300923,abundant,1.0,13.0,20264731,legacy_count_br,1000001011000010000000011100000000000000100101100010010000000010010000101001000100000010001100001010
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,2,20300923,abundant,1.0,13.0,20264731,random_feasible,1010101110010000100001011011101010100010101110100010001101000010011000001111101100001101111101100010
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,2,20300923,abundant,1.0,13.0,20264731,all_local,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,2,20300923,abundant,1.0,13.0,20264731,all_offload,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,2,20300923,abundant,1.0,13.0,20264731,qdp_oracle,0000000001000010000000001000000001000000000011000000010000000010010000101100000000000010000000001000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,2,20300923,moderate,0.6,5.0,20264731,wa_mcbr,0000000000000010000000001000000001000000000011000000010000000010010000101100000000000010000000001000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,2,20300923,moderate,0.6,5.0,20264731,wa_mcbr_swap,0000000000000010000000001000000001000000000011000000010000000010010000101100000000000010000000001000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,4,2,20300923,moderate,0.6,5.0,20264731,capacity_greedy,0000000000000010000000001000000001000000000011010000010000000010010000100100000000000010000000001000
